,com_id,pred,dpdta,dcdti,cpi,deep,mdprd,SVM,RF,MLP,zinc_id,smiles
62,532,0.8523461385485825,0.89545685,0.997276246547699,0.5008231,3.661498567453236e-06,0.2834996879100799,0.7341736471469884,0.48,0.6953239980476021,1859762362,C[C@H]1CCCN(S(=O)(=O)c2ccc(C(=O)Nc3nnc(C4=S=CC=C4)s3)cc2)C1
147,554,0.8520714989844282,0.82060915,0.9975795149803162,0.4789356,0.0040543512441217,0.2487133592367172,0.3851985661505193,0.54,0.4962985368708054,2296453361,O=C1C(=Cc2ccc(-c3cccc([N+](=O)[O-])c3)o2)SC(=S)N1c1cccc(C(F)(F)F)c1
75,190,0.8518326079537324,0.8838027,0.9979771971702576,0.4873882,0.0119412895292043,0.1888611018657684,0.7021529573475328,0.48,0.7781746412523729,8453444,Cc1cccc(OCCn2c(C)c(/C=C3/C(=N)N4N=C(c5ccccc5Cl)SC4=NC3=O)c3ccccc32)c1
140,436,0.8455934101239976,0.73589385,0.9999581575393676,0.48039028,0.0010686146561056,0.1908689141273498,0.6917622747468609,0.51,0.8829228618163222,2356312070,COc1cc(CCC(=O)CC(=O)[C@@H]2C(CN=c3[nH]cc[c-]3Cc3ccc(O)c(O)c3)=Cc3[nH]ccc3[C@H]2C[C@H]2C=Cc3c(O)cccc3CC2)ccc1O
372,981,0.8444882865338041,0.895251,0.9973531365394592,0.48767772,0.0066430224105715,0.172403484582901,0.6096192697635743,0.47,0.7501758123304588,97964895,Cc1cc(C)cc(OCCn2c(C)c(/C=C3/C(=N)N4N=C(c5ccccc5Cl)SC4=NC3=O)c3ccccc32)c1
86,224,0.8420088065414119,0.9603445,0.9762176275253296,0.54701304,0.0007643546559847,0.2120039761066436,0.6991603794867121,0.43,0.8043502976663388,35808494,CN1C(=O)[C@]2(c3cc(F)ccc31)N(C)C[C@@H](c1ccccn1)[C@@]21SC(=S)N(Cc2ccco2)C1=O
161,572,0.8415112530807518,0.92777777,0.9655582308769226,0.54701304,1.7734220818965696e-05,0.3212380111217499,0.5591181991998037,0.47,0.7699350908058515,102899013,CN1C(=O)[C@]2(c3cc(Cl)ccc31)N(C)C[C@@H](c1ccccn1)[C@@]21SC(=S)N(Cc2ccco2)C1=O
146,667,0.8411707045099587,0.8942735,0.9752290844917296,0.54701304,0.0003427697229199,0.244700402021408,0.8306739535297327,0.44,0.7616887986717811,245246473,CN1C(=O)[C@]2(c3cc(F)ccc31)N(C)C[C@@H](c1ccccn1)[C@]21SC(=S)N(Cc2ccco2)C1=O
135,797,0.8405437967081849,0.9255392,0.9968174695968628,0.4877882,0.0005471527110785,0.2823812663555145,0.8265479857355926,0.44,0.8091981498768454,1817682554,O=C(Nc1cc([C@@H]2CCCCN2C(=O)c2cc(O)nc(O)c2)[nH]n1)c1n[nH]c2c1CS(=O)(=O)C2
86,395,0.8402778077456736,0.8761713,0.9875150918960572,0.71457475,3.2202959118876606e-05,0.1664570420980453,0.3047737555050848,0.44,0.4366519230521495,2314399962,NC(=O)C1CCN(c2nc3ccccn3c(=O)c2C=C2SC(=S)N(CCCCCCCCCCC(=O)O)C2=O)CC1
34,97,0.8396514029333587,0.8864602,0.9543230533599854,0.5612773,6.801352725460674e-08,0.3420957624912262,0.5,0.49,0.3443032867830712,260909822,CC1=CC(C)(C)N(C)c2cc(Cl)c([C@@H]3[C@H](c4ccccn4)NC(=S)N3c3ccc(N4C[C@@H](C)C[C@@H](C)C4)c(Cl)c3)cc21
240,801,0.836618972710906,0.6492833,0.9998277425765992,0.48039028,0.0010186333674937,0.3329839408397674,0.6917622747468609,0.52,0.8829228618163222,2356312069,COc1cc(CCC(=O)CC(=O)[C@@H]2C(CN=c3[nH]cc[c-]3Cc3ccc(O)c(O)c3)=Cc3[nH]ccc3[C@@H]2C[C@H]2C=Cc3c(O)cccc3CC2)ccc1O
175,722,0.8358292632423892,0.67622226,0.9364088177680968,0.4873567,1.4153692973195575e-06,0.1866663694381714,0.6367984125520721,0.52,0.7890482981763812,110073335,O=C1/C(=C/c2c(N3CCC(Cc4ccccc4)CC3)nc3ccccn3c2=O)SC(=S)N1[C@@H]1CCS(=O)(=O)C1
47,382,0.8341488157799543,0.8956577,0.9952555894851683,0.5008231,9.6596040748409e-06,0.2552360594272613,0.660388643793574,0.45,0.7475448068977698,1859762361,C[C@@H]1CCCN(S(=O)(=O)c2ccc(C(=O)Nc3nnc(C4=S=CC=C4)s3)cc2)C1
16,127,0.8339811072683737,0.8574282,0.9996069669723512,0.48759213,0.0004019200569018,0.1620326340198516,0.3856346243943834,0.48,0.4711641782623432,34981898,CCCC[C@@H](CC)CN1C(=O)/C(=C/c2c(N3CCN(CCO)CC3)nc3ccccn3c2=O)SC1=S
288,864,0.8338439300652578,0.71678597,0.9999766945838928,0.48039028,0.0010186333674937,0.1843719780445099,0.7228691975326735,0.48,0.8843011037496872,2356312068,COc1cc(CCC(=O)CC(=O)[C@@H]2C(CN=c3[nH]cc[c-]3Cc3ccc(O)c(O)c3)=Cc3[nH]ccc3[C@H]2C[C@@H]2C=Cc3c(O)cccc3CC2)ccc1O
230,781,0.8331854898163805,0.86896336,0.9964534640312196,0.48742175,0.0016380535671487,0.1980766355991363,0.4553265015628555,0.48,0.3937483743359392,225432151,COc1cc(N2C(=S)N[C@@H](c3ccccn3)[C@H]2c2cc(C)n(-c3ccc(C)cn3)c2C)ccc1NS(C)(=O)=O
52,248,0.8322778336260636,0.94337296,0.9900388717651368,0.4879642,1.0070328926303771e-06,0.3737920224666595,0.7127858616312329,0.45,0.8833832845700107,1799602492,Cc1cccc(Cl)c1C(=O)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)C1=NN(c3ccccc3)C(=O)C1)C2
43,207,0.8321244766400567,0.8986188,0.9720913171768188,0.48801723,6.803294672863558e-05,0.2244377732276916,0.5318490158349393,0.47,0.7933094501768779,1796479763,O=C(N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)[C@H]1Cc3ccccc3O1)C2)C1=NN(c2ccccc2)C(=O)C1
0,5,0.8317866050469407,0.71636176,0.9800307154655457,0.55014837,1.3469762052409353e-05,0.1894287914037704,0.6346159439566426,0.47,0.8199451880964749,1514176928,CC[C@@H]1CN(c2nnc(Cc3ccccn3)n2Cc2ccc(N(C)C)cc2C)C[C@H](C)O1
78,306,0.831432623335313,0.8840705,0.9773118495941162,0.48797798,0.0005990837235003,0.1315679848194122,0.2524664394098965,0.49,0.1976415156883731,2296540815,CCCCCCN1C(=O)C(=Cc2c(N3C[C@@H](C)C[C@@H](C)C3)nc3ccccn3c2=O)SC1=S
91,444,0.8308959678084736,0.9627018,0.9865295886993408,0.4803723,2.8025371648254804e-05,0.2222199141979217,0.5323865534404915,0.45,0.6017522666275362,1799993661,O=C(N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)C1=NN(c3ccccc3)C(=O)C1)C2)c1cccc2nccn12
81,253,0.8302139697821895,0.84389216,0.8909180760383606,0.48735413,0.0198733601719141,0.3821752369403839,0.3500449807192511,0.55,0.419775811011366,2672079,Cc1ccc2nc(NC3CC(C)(C)NC(C)(C)C3)c(/C=C3\SC(=S)N(Cc4ccco4)C3=O)c(=O)n2c1
245,670,0.8298657530226917,0.88510054,0.9575850367546082,0.5612773,5.993632612444344e-07,0.3729016482830047,0.546784508121354,0.47,0.4244345621341243,224119785,CC1=CC(C)(C)N(C)c2cc(Cl)c([C@@H]3[C@@H](c4ccccn4)NC(=S)N3c3ccc(N4C[C@@H](C)C[C@@H](C)C4)c(Cl)c3)cc21
23,89,0.8298037212168717,0.8831289,0.978158950805664,0.48734516,1.3236424820206594e-05,0.3732198774814605,0.5834288370268764,0.48,0.7615253907084211,1868772533,COc1ccc(N2CCN(C(=O)[C@@H](C)NC(=O)c3cc(-c4cccs4)n([C@H]4CCS(=O)(=O)C4)n3)CC2)cc1
48,185,0.8289717083818694,0.9052947,0.979749858379364,0.48768374,0.0005110350321047,0.2058613449335098,0.3970093337892678,0.47,0.4197737773175569,2296541892,Cc1ccc2nc(N3C[C@@H](C)C[C@@H](C)C3)c(C=C3SC(=S)N(Cc4ccco4)C3=O)c(=O)n2c1
125,903,0.8282571155082082,0.8520637,0.9989030957221984,0.4873457,6.266510354180355e-06,0.1864094585180282,0.5401243984692037,0.45,0.4119772008158074,2296537575,O=C1C(=Cc2ccc(-c3cccc([N+](=O)[O-])c3)o2)SC(=S)N1CCS(=O)(=O)O
97,421,0.82788763524828,0.9030435,0.9816700220108032,0.48768374,8.345074456883594e-05,0.2943451702594757,0.3970093337892678,0.48,0.4197737773175569,2296541894,Cc1ccc2nc(N3C[C@@H](C)C[C@H](C)C3)c(C=C3SC(=S)N(Cc4ccco4)C3=O)c(=O)n2c1
151,942,0.827335921116622,0.7990473,0.999787449836731,0.5247221,2.6987597920302697e-11,0.187786653637886,0.4716170465772199,0.46,0.5581334949448095,2296885404,O=C(CCCN1C(=O)C(=Cc2cccs2)SC1=S)N[C@H]1CCS(=O)(=O)C1
34,103,0.8269723150062516,0.83959776,0.9343220591545104,0.48759723,0.0419839508831501,0.155732974410057,0.602207741187247,0.46,0.5869559401224875,97961899,CC[C@H](C)c1ccc(OCCOc2c(OC)cc(/C=C3\C(=N)N4N=C(c5ccccc5Cl)SC4=NC3=O)cc2OC)cc1
54,152,0.8269109431202021,0.9001409,0.99910569190979,0.48834032,0.0149807464331388,0.1447944790124893,0.4407607185055974,0.45,0.4507987763819931,409131284,CC[C@H](C)Oc1ccc2ccccc2c1/C=C1\C(=O)NC(=S)N(c2ccc(C)cc2C)C1=O
225,689,0.8264923513920053,0.91446114,0.9076229929924012,0.48671103,0.1334334164857864,0.1015972644090652,0.7523935342742167,0.43,0.7624251281807011,8453456,COc1ccc(OCCn2c(C)c(/C=C3/C(=N)N4N=C(c5ccccc5Cl)SC4=NC3=O)c3ccccc32)cc1
76,336,0.8256511884990277,0.9525534,0.9860060214996338,0.48748532,0.0064442423172295,0.3807081282138824,0.7346762440070329,0.44,0.7465388635374574,1798490991,O=C(N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)C1=NN(c3ccccc3)C(=O)C1)C2)c1[nH]cnc1-c1cccnc1
102,640,0.8253745550345686,0.86334467,0.9833190441131592,0.43950403,8.730844456295017e-06,0.1745644956827163,0.5510964063684363,0.46,0.5394172404273142,743282225,COc1ccc(OC(F)F)c(/C=C2/SC(=S)N([C@H]3CCOc4ccccc43)C2=O)c1
127,623,0.8250755719943774,0.83403313,0.9984676837921144,0.4873528,0.0128085408359766,0.3018035590648651,0.6551701449901031,0.46,0.5931242390368117,222703698,CC[C@H]1CSC2=N[C@H](c3ccccn3)[C@@H](c3cc(C)n(-c4ncccc4C)c3C)N21
116,391,0.8248509868404035,0.8828907,0.997658669948578,0.49467194,0.0016414476558566,0.1838879883289337,0.4015405966075203,0.46,0.3257489469068723,225431819,COc1cc(N2C(=S)N[C@@H](c3ccccn3)[C@H]2c2cc(C)n(-c3cc(C)ccn3)c2C)ccc1NS(C)(=O)=O
155,427,0.8240151997386372,0.84842694,0.9761891961097716,0.5612773,1.0274796125031573e-08,0.2586228847503662,0.3641900881565325,0.47,0.246866454898294,260909826,CC1=CC(C)(C)N(C)c2cc(Cl)c([C@@H]3[C@H](c4ccccn4)NC(=S)N3c3ccc(N4C[C@@H](C)C[C@H](C)C4)c(Cl)c3)cc21
73,225,0.8221506607970149,0.9055507,0.9967610836029052,0.48768374,8.345377136720344e-05,0.2152255624532699,0.5250291166101863,0.44,0.4978326329294401,17056760,Cc1ccc2nc(N3C[C@@H](C)C[C@H](C)C3)c(/C=C3/SC(=S)N(Cc4ccco4)C3=O)c(=O)n2c1
15,38,0.8219015170903331,0.8723316,0.9717079997062684,0.4606237,0.1776869744062423,0.1257639676332473,0.7142250400433834,0.43,0.6773054815741911,2356521357,CNCc1cc(CCC(=O)CC(=O)[C@@H]2C(CNc3ccc[nH]3)=Cc3[nH]ccc3[C@H]2CCCCc2cccc(O)c2)cc(OC)c1O
132,749,0.8218221710267387,0.79126924,0.9927942156791688,0.48734608,0.0043381555005908,0.2631758451461792,0.5848863210762717,0.46,0.5878195990685857,102683871,Cc1ccc2nc(N3CCN(C)CC3)c(/C=C3/SC(=S)N(Cc4ccco4)C3=O)c(=O)n2c1
175,620,0.8217310777491321,0.90976596,0.9778342843055724,0.54701304,5.165644688531757e-05,0.2818076312541961,0.5606857868447337,0.43,0.664144820068731,106022041,CN1C(=O)[C@]2(c3cc(Cl)ccc31)N(C)C[C@H](c1ccccn1)[C@]21SC(=S)N(Cc2ccco2)C1=O
212,858,0.82161569720049,0.95861197,0.9989286065101624,0.48738763,0.0002590369549579,0.1276493519544601,0.6049381019403639,0.4,0.7766352919359312,1796480466,O=C(N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)c1cc(-n3ccnc3)ccn1)C2)C1=NN(c2ccccc2)C(=O)C1
143,597,0.8215267393665096,0.87231225,0.9999313354492188,0.4551318,2.0137306364631517e-06,0.2637064158916473,0.6777160894603862,0.44,0.69478493369643,587272666,Cc1cc([N+](=O)[O-])cc2c1N[C@H](c1nc3cc(C(F)(F)F)cc(C(F)(F)F)c3[nH]1)[C@@H]1CC=C[C@H]21
80,254,0.8214823543780938,0.9244733,0.9905595183372498,0.4876812,2.722198587434832e-05,0.2831724882125854,0.5239684389044128,0.44,0.5669340417960446,100886495,Cc1ccc2nc(N3C[C@@H](C)C[C@H](C)C3)c(/C=C3/SC(=S)N(Cc4ccccc4Cl)C3=O)c(=O)n2c1
74,241,0.8213549661797176,0.9246017,0.942122220993042,0.48790964,5.6345183111261576e-05,0.1658346951007843,0.5413228842538809,0.43,0.7547944565146796,106022151,CN1C(=O)[C@]2(c3cc(Cl)ccc31)N(C)C[C@H](c1ccncc1)[C@]21SC(=S)N(Cc2ccco2)C1=O
62,367,0.821282820046191,0.84486014,0.989711582660675,0.6403794,0.0005287686362862,0.2773730754852295,0.5487841898078433,0.42,0.7144302675340585,1820069126,Cc1cnoc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)c2ccc(-n3c(C)ccc3C)cc2)[nH]n1
122,501,0.8211079378186285,0.8929832,0.992561101913452,0.46609467,1.4220761386241063e-06,0.2307743579149246,0.5803409188301621,0.44,0.5994291513149471,222697343,CC[C@H]1CSC2=N[C@H](c3ccccn3)[C@@H](c3cc(C)n(-c4ccccc4Cl)c3C)N21
69,277,0.8208388951159421,0.9178912,0.9702120423316956,0.5309957,3.8312322431011125e-05,0.2060895711183548,0.3999875918137796,0.45,0.2535009409495014,2314476952,CC(C)CN1C(=O)C(=Cc2cn(-c3ccccc3)nc2-c2cccc(S(=O)(=O)N3C[C@@H](C)C[C@H](C)C3)c2)SC1=S
27,148,0.8206493994053115,0.9437825,0.9885226488113404,0.48738727,0.0036809495650231,0.2515263259410858,0.6919749966076589,0.42,0.7537715780848252,1796217642,O=C(N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)C1=NN(c3ccccc3)C(=O)C1)C2)c1[nH]nc2ncccc12
174,635,0.8206079692315258,0.9295436,0.9872782826423644,0.4876812,0.0002700061013456,0.1461353152990341,0.5239684389044128,0.42,0.5669340417960446,100886493,Cc1ccc2nc(N3C[C@@H](C)C[C@@H](C)C3)c(/C=C3/SC(=S)N(Cc4ccccc4Cl)C3=O)c(=O)n2c1
